['20206181539692849', None]
['202061815161743311', None]
['202061815484112232', None]
['202061815122328316', None]
['202061815104935467', '本品为黄色片；味苦。']
['202061815235867570', None]
['2020618154243101838', None]
['2020618154323102833', None]
['202061815284268903', None]
['20206181593819511', '本品为乳剂型基质的淡黄色软膏，气芳香。']
['202061815192245909', None]
['20206181545123709', None]
['202061815274266512', '本品为白色或类白色疏松状块物或无定形固体']
['202061815244659158', None]
['202061815202749676', None]
['202061815284168664', None]
['202061815305174306', None]
['202061815111824340', None]
['202061815111724256', None]
['202061815195348228', '本品为棕黄色至棕色的澄清液体；味甜、微苦、凉。']
['202061815102722432', None]
['202061815375890415', '本品为黄棕色至棕褐色颗粒；味甜。']
['202061815262463842', None]
['20206181545515362', None]
['202061815335580906', None]
['202061815413098322', '本品为白色或类白色片。']
['20206181595520401', None]
['20206181530671943', '该品为白色薄膜衣片，除去薄膜后显类白色或淡黄色。']
['20206181591918733', None]
['2020618154676475', '本品为薄膜衣片，除去包衣后显白色或类白色。']
['2020618154203674', None]
['202061815195748329', '本品为白色疏松块状物或粉末。']
['20206181592819164', None]
['202061815255472301', '本品为黄色片或糖衣片。']
['202061815244959190', None]
['2020618154451443', None]
['20206181545163884', '本品为胶囊剂，内容物为着色混合颗粒。']
['202061815183544587', '本品为白色或类白色疏松块状物或粉末。']
['202061815313074882', None]
['202061815494214858', None]
['202061815353284293', '本品内容物为淡黄色至黄色的油状液体。']
['202061815481410786', '本品为褐黄色的水丸；味苦、辛。']
['202061815473517407', None]
['20206181544309833', None]
['202061815242058517', None]
['202061815183544587', '本品为白色或类白色疏松块状物或粉末。']
['202061815362486730', None]
['202061815113024515', None]
['2020618154583342', None]
['2020618154241101784', None]
['202061815175055259', None]
['202061815363887962', None]
['20206181545211718', None]
['20206181545455345', None]
['202061815215052518', None]
['20206181518657643', '本品为白色或微黄色块状物或粉末。']
['202061815374296359', None]
['202061815212651703', None]
['202061815283268327', None]
['202061815485412139', '本品为糖衣片，除去糖衣后，显棕褐色；气芳香，味微甜、微苦。']
['202061815202449573', None]
['202061815254662592', None]
['202061815154136693', None]
['20206181541133624', '本品为硬胶囊，内容物为白色粉末。']
['20206181513829250', '本品为白色或类白色片。']
['202061815283468621', None]
['202061815225855648', '本品为棕黄色至棕色的澄清液体；味甜，微苦、凉。']
['202061815121226902', '本品为棕色的颗粒；味甜、微苦。']
['202061815353784938', None]
['20206181550222100', None]
['20206181527472869', '本品为棕色的澄清液体；味甜、微苦，有清凉感。']
['202061815272966189', '本品为淡棕色澄清液体；气香，味甜。']
['202061815361887014', None]
['202061815491013303', None]
['202061815165039897', None]
['202061815485713007', '本品为薄膜衣片，除去包衣后显灰褐色至棕褐色；味苦。']
['20206181521851035', None]
['202061815232663625', None]
['202061815443611033', None]
['20206181510535338', None]
['202061815284969475', None]
['202061815165039744', None]
['20206181544221768', None]
['202061815101221000', None]
['202061815494914574', '本品为糖衣片，除去包衣后显白色。']
['20206181531074738', None]
['202061815123828131', None]
['20206181549213896', None]
['202061815174955233', None]
['20206181549912941', None]
['202061815211351159', '本品为黄棕色的颗粒或长方块；气微香，味甜、微苦。']
['202061815312774814', None]
['202061815154236655', '本品为薄膜衣片，除去包衣后显污绿色；味苦。']
['202061815145140532', None]
['202061815405597065', None]
['202061815465416601', None]
['202061815171040671', None]
['20206181519745527', None]
['202061815231256003', None]
['202061815414599045', None]
['202061815164539295', None]
['202061815133831018', None]
['202061815324678902', None]
['202061815105635606', None]
['202061815215652724', None]
['202061815283568919', None]
['202061815244659236', None]
['202061815372289536', None]
['202061815401195595', None]
['202061815284769367', None]
['20206181519745528', None]
['202061815394994475', '本品为棕褐色的澄清液体；气芳香，味甜、微苦辛。']
['202061815183857896', '本品为棕色粘稠的液体；味甜；']
['202061815325078719', None]
['202061815492813584', None]
['202061815211651270', None]
['202061815175943145', None]
['202061815233957075', '片剂']
['202061815191245671', None]
['202061815163344137', '本品为胶囊剂，内容物为棕色至红棕色粉末或四色小颗粒；味微苦。']
['202061815141031540', '本品为棕黄色的颗粒；具桉油气味，味甜，微苦。']
['2020618159617873', None]
['202061815311589537', None]
['202061814584153769', None]
['20206181536886599', None]
['202061815472618386', None]
['202061815123828118', None]
['202061815301282901', None]
['202061815481010682', '本品为棕红色的粘稠液体；气香，味甜、微苦、凉。']
['202061815304373959', None]
['202061815161143349', None]
['202061815235867137', None]
['2020618154236101692', None]
['202061815315277553', None]
['202061815492913587', None]
['202061815382091386', '本品为红棕色半透明的黏稠液体；味甜。']
['20206181516742330', None]
['202061815355085138', '本品为薄膜衣片或糖衣片，除去包衣后显黄棕色至棕色，略有白点；味苦。']
['202061815473818275', None]
['202061815414298941', '本品为浅棕色的颗粒；味甜、微苦']
['20206181524567540', None]
['20206181535993522', None]
['202061815113825084', None]
['202061815365793900', None]
['202061815482920124', '本品为淡棕色的颗粒，气香，味甜。']
['20206181528276066', None]
['20206181591518836', None]
['20206181543489099', None]
['20206181535993525', None]
['20206181516842857', None]
['20206181582323752', None]
['20206181516742341', None]
['202061815111523113', None]
['202061815252261737', None]
['202061815485013054', None]
['20206181534791876', '本品为深棕色的澄清液体(久贮略有浑浊)；味辛、苦。']
['202061815473017452', None]
['20206181540895484', '本品为棕黄色液体；味甜，有麻感。']
['20206181536186423', None]
['202061815171040841', None]
['202061815314076782', None]
['202061815113625040', None]
['202061815225855647', None]
['202061815275466557', '本品为棕色或黄色的液体。']
['2020618154113387', None]
['202061815323178152', None]
['202061815371294067', None]
['202061815225855639', None]
['202061815111824430', None]
['20206181538090763', '本品为浅棕色的颗粒；味甜、微苦。']
['202061815125628950', '为棕色至棕黑色的水蜜丸、黑褐色的小蜜丸或大蜜丸；气微，味苦、甜。']
['202061815212951324', None]
['20206181543118570', None]
['202061815124928682', None]
['202061815482120075', '本品为棕色或黄色的液体。']
['20206181529469887', None]
['202061815301171917', None]
['2020618154738125', None]
['202061815332889878', None]
['202061815175942933', None]
['202061815252561910', None]
['202061815312889741', None]
['202061815464212865', None]
['20206181582516255', None]
['202061815385992697', None]
['2020618153935100322', None]
['202061815302785612', None]
['20206181543118769', None]
['202061815355986345', None]
['202061815483011051', '本品为棕红色的黏稠液体；气香，味甜、微苦、凉。']
['20206181532077202', None]
['202061815375796702', None]
['202061815284969242', None]
['20206181539692861', None]
['202061815115826178', None]
['202061815122827432', None]
['20206181531074700', None]
['202061815371194041', None]
['202061815144540517', None]
['20206181533991422', '本品为红棕色的颗粒；气微，味甜、微苦。']
['202061815213467567', '本品为硬胶囊，内容物为棕褐色的颗粒和粉末；气芳香，味微苦。']
['202061815333880577', None]
['202061815341093440', None]
['20206181550222060', '本品为糖衣片，除去糖衣后显棕褐色、味苦、微辛。']
['202061815394194268', None]
['20206181539692860', None]
['202061815394994647', None]
['202061815124128371', None]
['202061815103122631', None]
['202061815345183252', None]
['20206181539192585', None]
['202061815314076806', '本品为淡黄色至棕褐色的片；气微香，味微苦。']
['2020618154284432', None]
['20206181523655952', None]
['202061815262463857', None]
['202061815262563859', None]
['202061815174754919', None]
['202061815381391322', '本品为红褐色液体；味苦、辛、微甜。']
['202061815124129158', '本品为白色薄膜衣片,除去包衣后片芯为黄红色双层片。']
['202061815243758976', None]
['20206181513429451', None]
['20206181548210436', None]
['202061815333480194', '本品为糖衣片，除去糖衣后显棕色或棕褐色；味微苦、麻。']
['20206181527872587', '本品为白色片。']
['202061815305174308', None]
['202061815131630620', None]
['202061815121226892', '本品为棕色的颗粒；味甜,微苦。']
['202061815115826181', None]
['202061815473218171', None]
['202061815333680465', '本品为棕黄色的颗粒；气微，味淡。']
['202061815164239469', None]
['202061815304173243', '本品为棕褐色的液体；味甜、微苦，放置后可有少量沉淀。']
['20206181543489086', '本品为颗粒剂，微苦。']
['202061815293670762', None]
['20206181540995506', '本品为棕黄 色液体；味甜，有麻感。']
['20206181549712411', None]
['202061815264664607', '本品为无色的澄明液体。']
['202061815385992617', None]
['202061815361386442', None]
['20206181531374607', None]
['202061815305874441', None]
['202061815165440037', None]
['202061815161143572', None]
['202061815113625061', None]
['2020618153934100315', '本品为棕黄色至棕褐色的颗粒；味甜、微苦。']
['202061815203460418', '本品为微黄绿色的澄明液体。']
['20206181519945612', None]
['20206181519445626', None]
['202061815473218175', None]
['202061815172541354', '本品为糖衣片，除去糖衣后显棕褐色；味苦。']
['202061815283969489', None]
['20206181550122056', None]
['2020618154341154', '本品为白色或类白色颗粒，味甜']
['202061815214051870', None]
['202061815483011049', '本品为棕红色的黏稠液体；气香、味甜、微苦、凉。']
['202061815154236964', None]
['20206181542598372', None]
['202061815325979326', '本品为胶囊剂，内容物为黑褐色的颗粒或粉末；气微，味微苦、咸。']
['202061815273266016', None]
['202061815383797499', '本品为红棕色的颗粒；气微，味甜、微苦。']
['202061815113024323', None]
['2020618159517855', None]
['202061815311890979', '本品为糖衣片，除去包衣后显白色。']
['202061815213951970', None]
['202061815283969484', None]
['20206181536886794', None]
['202061815243171008', None]
['202061815121226876', None]
['202061815381590966', None]
['202061815405597053', None]
['202061815301171916', None]
['202061815381296795', None]
['202061815292171329', None]
['20206181539792943', None]
['202061815153737218', '本品为白色或类白色结晶性粉末。']
['20206181520548646', None]
['202061815371093995', None]
['202061815181644286', '本品为薄膜衣片，除去薄膜衣后，显白色。']
['202061815215452846', None]
['202061815152642040', None]
['20206181544151677', None]
['202061815135831396', None]
['202061815405597046', '本品为黄棕色至棕褐色的颗粒；味甜。']
['202061815145240378', '浅黄色澄清液体。']
['202061815283969495', '本品为糖衣片，除去糖衣后显褐绿色或黄褐色至棕褐色；味极苦。']
['20206181513229862', '本品为暗黄色的片；气微、味苦。']
['202061815495614692', '本品为黄橙色或赤褐色片；有薄荷的特臭。']
['20206181512426362', None]
['20206181538190672', '本品为棕红色的澄清液体；具特异香气。']
['2020618154487752', None]
['202061815222153006', None]
['202061815345483439', None]
['20206181547239580', None]
['202061815231456094', '本品为白色片。']
['202061815113825086', None]
['20206181534081190', None]
['202061815443611038', '本品为棕褐色的粘稠液体；气芳香，味甜。']
['202061815495614688', None]
['20206181532977490', None]
['202061815164139340', None]
['2020618154777927', None]
['20206181532177003', None]
['20206181585033589', '本品为白色或类白色片。']
['202061815312074771', None]
['20206181540995504', None]
['2020618154748162', None]
['20206181530982545', '本品为黄棕色至红棕色的液体，气特异。']
['202061815195648533', '本品为淡黄色口含片；气香；味甜。']
['202061815171541429', None]
['202061815112024066', None]
['202061815472016793', None]
['202061815242358628', None]
['202061815484212140', None]
['202061815125828882', None]
['20206181545485629', None]
['20206181545111747', None]
['202061815464812705', None]
['202061815243272040', '本品为棕色液体；气香，味辛、苦、微甜。']
['20206181527472856', '本品为棕色的澄清液体；味甜、微苦，有清凉感。']
['202061815111023070', None]
['202061815333187125', None]
['20206181544321855', None]
['202061815121226905', None]
['202061815401395809', None]
['202061815384191465', '本品为淡黄棕色的片，味酸、甜。']
['20206181549912927', None]
['202061815215953049', None]
['202061815372289027', None]
['202061815355286048', None]
['202061815321177287', None]
['202061815181743565', None]
['202061815492813578', None]
['202061815502315559', None]
['20206181585718080', None]
['202061815265565404', None]
['202061815121826871', None]
['202061815165439811', None]
['20206181545455341', None]
['202061815335981184', None]
['202061815164339491', None]
['202061815354685844', None]
['202061815114625734', None]
['202061815484112218', None]
['202061815271672845', '本品为淡棕色至棕褐色的片；气微香，味微苦。']
['202061815402295961', '本品为深棕色的澄清液体（久贮略有浑浊）；味辛、苦。']
['202061815413598808', None]
['202061815255562862', None]
['20206181528667397', '本品为黄褐色的粗粉；气香、味甜。']
['202061815123428020', None]
['202061815483211137', None]
['202061815503815546', '本品为棕色颗粒；气芳香，味酸、甜。']
['202061815475810281', None]
['202061815135331258', None]
['202061815473117459', None]
['202061815371988656', None]
['202061815362686825', None]
['202061815484112216', None]
['202061815213151458', None]
['202061815491013280', None]
['20206181530982575', None]
['202061815503015979', None]
['202061815362486715', '本品为淡棕黄色至棕黄色的颗粒或淡棕黄色至棕黄色与白色或类白色的混合颗粒；气微香，味甜、微酸、苦。']
['202061815402295945', None]
['202061815401995949', None]
['20206181549512324', None]
['202061815275976252', None]
['20206181531274675', None]
['202061815305174294', None]
['20206181519745532', None]
['202061815231256014', None]
['202061815482220104', '本品为浅棕色至深棕色颗粒；味甜、微苦。']
['202061815102021246', None]
['202061815274573596', '本品为棕红色至棕褐色的澄清液体；气芳香，味辛辣。']
['202061815485512146', None]
['202061815105628530', None]
['202061815111924326', None]
['202061815373089007', None]
['202061815131730881', None]
['202061815124129154', '本品为胶囊，内容物为白色颗粒。']
['20206181549712420', None]
['202061815213352033', None]
['202061815141031542', None]
['202061815494889844', None]
['202061815322278028', None]
