['20206181539692849', '密封。']
['202061815161743311', '遮光，密闭保存。']
['202061815484112232', '密闭保存。']
['202061815122328316', '15～25℃密封保存。']
['202061815104935467', '密闭保存。']
['202061815235867570', '密闭保存。']
['2020618154243101838', '遮光，密封，在干燥处保存。']
['2020618154323102833', '密闭']
['202061815284268903', '密闭，在干燥处保存。']
['20206181593819511', '密封，置阴凉干燥处。']
['202061815192245909', '密封']
['20206181545123709', '密封，在干燥处保存。']
['202061815274266512', '密闭，阴凉处 (不超过20℃) 保存。']
['202061815244659158', '遮光，密闭保存。']
['202061815202749676', '置30℃以下干燥处保存。']
['202061815284168664', '密闭，在干燥处保存。']
['202061815305174306', '密封，置阴凉处（不超过20℃）。']
['202061815111824340', '避光，密封']
['202061815111724256', '干燥，密封，避光。']
['202061815195348228', '密封。置阴凉处。']
['202061815102722432', '密封']
['202061815375890415', '遮光，密闭，在凉处保存。']
['202061815262463842', '密封、遮光处保存。']
['20206181545515362', '遮光，密封保存。']
['202061815335580906', '遮光、密封、在凉暗处保存。']
['202061815413098322', '遮光，密封保存。']
['20206181595520401', '密闭，置凉暗处（不超过20℃）保存。']
['20206181530671943', '遮光，密封保存。']
['20206181591918733', '密闭，防潮。']
['2020618154676475', '密封保存。']
['2020618154203674', '密封，在阴凉干燥处保存。']
['202061815195748329', '密闭，凉暗处保存。']
['20206181592819164', '密封、在阴凉干燥处保存。']
['202061815255472301', '遮光，密封，在干燥处保存。']
['202061815244959190', '遮光，密闭，在阴凉处保存。']
['2020618154451443', '遮光，密封保存']
['20206181545163884', '密封，在阴凉（不超过20℃）干燥处保存。']
['202061815183544587', '避光，密封，置阴凉干燥处保存。']
['202061815313074882', '密封保存。']
['202061815494214858', None]
['202061815353284293', '遮光，密封，在干燥处保存。']
['202061815481410786', '遮光，密封保存。']
['202061815473517407', '密封。']
['20206181544309833', '密封。']
['202061815242058517', '遮光，密封保存。']
['202061815183544587', '避光，密封，置阴凉干燥处保存。']
['202061815362486730', '密封']
['202061815113024515', '遮光，密封保存。']
['2020618154583342', '密封，防潮。']
['2020618154241101784', '遮光，密封，在干燥处保存。']
['202061815175055259', '密封保存。']
['202061815363887962', '遮光，密封保存。']
['20206181545211718', '密封避光']
['20206181545455345', '遮光，密封保存。']
['202061815215052518', '密封保存。']
['20206181518657643', '常温（10℃- 30℃），遮光，密闭保存。']
['202061815374296359', '遮光，密闭保存。']
['202061815212651703', '密封。']
['202061815283268327', '密封。']
['202061815485412139', '遮光，密封保存。']
['202061815202449573', '遮光，密闭保存']
['202061815254662592', '遮光，密封保存。']
['202061815154136693', '避光，密封。']
['20206181541133624', '遮光，密封保存。']
['20206181513829250', '密闭保存。']
['202061815283468621', '密封。']
['202061815225855648', '密封。置阴凉处。']
['202061815121226902', '密封，防潮。']
['202061815353784938', '密封保存。']
['20206181550222100', '遮光，密封，在阴凉干燥处（不超过20℃）保存。']
['20206181527472869', '密封。']
['202061815272966189', '密封，置阴凉处。']
['202061815361887014', '密封，阴凉干燥处']
['202061815491013303', '密封，置阴凉处。']
['202061815165039897', '遮光、密闭保存。']
['202061815485713007', '密封，置于阴凉干燥处。']
['20206181521851035', '密封，阴凉干燥处']
['202061815232663625', '密封。']
['202061815443611033', '密封，置阴凉处。']
['20206181510535338', '密闭']
['202061815284969475', '密封。']
['202061815165039744', '密封。']
['20206181544221768', '避光，密封。']
['202061815101221000', '密封']
['202061815494914574', '遮光，密封保存。']
['20206181531074738', '密闭保存。']
['202061815123828131', '避光，密封。']
['20206181549213896', '遮光、密闭保存。']
['202061815174955233', '密封保存。']
['20206181549912941', '密封，置于阴凉干燥处。']
['202061815211351159', '密闭保存。']
['202061815312774814', '密闭保存。']
['202061815154236655', '密封，置阴凉干燥处。']
['202061815145140532', '密封保存']
['202061815405597065', '遮光，密闭，在凉处保存。']
['202061815465416601', '密闭，防潮。']
['202061815171040671', '密封。']
['20206181519745527', '密封，置阴凉处保存。']
['202061815231256003', '置于阴凉干燥处']
['202061815414599045', '遮光，密封，在干燥处保存。']
['202061815164539295', '遮光，密封保存。']
['202061815133831018', None]
['202061815324678902', '遮光，密封保存。']
['202061815105635606', '密封，在干燥处保存。']
['202061815215652724', '遮光，密封保存。']
['202061815283568919', '密闭，在干燥处保存。']
['202061815244659236', '密封，置阴凉处。']
['202061815372289536', '密封，置阴凉处保存。']
['202061815401195595', '遮光，密封，置阴凉处（不超过20℃）。']
['202061815284769367', '密封。']
['20206181519745528', '密封，置阴凉处保存。']
['202061815394994475', '密封，阴凉处']
['202061815183857896', '密封，置阴凉处。']
['202061815325078719', '遮光，密封保存。']
['202061815492813584', '密封。']
['202061815211651270', '密封']
['202061815175943145', '遮光，密闭保存。']
['202061815233957075', '密封，置阴凉处。']
['202061815191245671', '密封。']
['202061815163344137', '密封。']
['202061815141031540', '避光?密封保存']
['2020618159617873', '遮光，密封，在阴凉干燥处保存。']
['202061815311589537', '密封，置阴凉处保存。']
['202061814584153769', '密封，在阴暗干燥处保存。']
['20206181536886599', '密封保存。']
['202061815472618386', '密封。']
['202061815123828118', '密封']
['202061815301282901', '密封保存。']
['202061815481010682', '密封，置阴凉处。']
['202061815304373959', '密封']
['202061815161143349', '遮光，密闭保存。']
['202061815235867137', '密封。']
['2020618154236101692', '遮光，密封，在干燥处保存。']
['202061815315277553', '密封，在干燥处保存。']
['202061815492913587', '密封。']
['202061815382091386', '遮光，密封，置阴凉处（不超过20℃）。']
['20206181516742330', '密封。']
['202061815355085138', '遮光，密封保存。']
['202061815473818275', '密封']
['202061815414298941', '密封。']
['20206181524567540', '密封，阴凉干燥处']
['20206181535993522', '密封。']
['202061815113825084', '遮光 ，密封保存。']
['202061815365793900', '遮光，密封。']
['202061815482920124', '密封。']
['20206181528276066', '密封，置阴凉处。']
['20206181591518836', '密闭，防潮。']
['20206181543489099', '密封。']
['20206181535993525', '密封。']
['20206181516842857', '密闭。']
['20206181582323752', '密闭，防潮。']
['20206181516742341', '密封。']
['202061815111523113', '密封。']
['202061815252261737', '遮光，密封保存。']
['202061815485013054', '密封，在阴凉处保存。']
['20206181534791876', '密封。']
['202061815473017452', '密封保存。']
['20206181540895484', '密闭，置阴凉干燥处。']
['20206181536186423', '密封保存。']
['202061815171040841', '密封。']
['202061815314076782', '密封。']
['202061815113625040', '遮光 ，密封保存。']
['202061815225855647', '密封。置阴凉处。']
['202061815275466557', '密封，置阴凉处。']
['2020618154113387', '密闭，在阴凉干燥处保存（不超过20℃）。']
['202061815323178152', '密闭，在干燥处保存。']
['202061815371294067', '密闭保存。']
['202061815225855639', '密封。置阴凉处。']
['202061815111824430', '遮光，密封保存。']
['20206181538090763', '密闭、防潮。\u3000']
['202061815125628950', '密闭，防潮。']
['202061815212951324', '密闭保存。']
['20206181543118570', '遮光，密封保存。']
['202061815124928682', '避光']
['202061815482120075', '密封保存。']
['20206181529469887', '密封，在阴凉处。']
['202061815301171917', '遮光，密封保存。']
['2020618154738125', '密封，置阴凉处。']
['202061815332889878', '密封.']
['202061815175942933', '密封，干燥处保存。']
['202061815252561910', '遮光，密封保存。']
['202061815312889741', '密封']
['202061815464212865', '密封保存。']
['20206181582516255', '密闭保存。']
['202061815385992697', '遮光、密封保存。']
['2020618153935100322', '密封，置阴凉干燥处。']
['202061815302785612', '密封，遮光。']
['20206181543118769', '密封。']
['202061815355986345', '密封保存。']
['202061815483011051', '密封，置阴凉处。']
['20206181532077202', '密封保存。']
['202061815375796702', '密封，在阴凉(不超过20℃)干燥处保存。']
['202061815284969242', '密封，置阴凉处保存。']
['20206181539692861', '密封。']
['202061815115826178', '密封。']
['202061815122827432', '密封。']
['20206181531074700', '密封。']
['202061815371194041', '密闭保存。']
['202061815144540517', '密封，阴凉干燥处']
['20206181533991422', '密闭，在干燥处保存。']
['202061815213467567', '密封，置干燥处。']
['202061815333880577', '密封，置阴凉处。']
['202061815341093440', '密封保存。']
['20206181550222060', '密封，在阴凉处保存。']
['202061815394194268', '密封。']
['20206181539692860', '密封。']
['202061815394994647', '密封，阴凉干燥处']
['202061815124128371', '密封，在阴凉处保存。']
['202061815103122631', '密封，防潮。']
['202061815345183252', '遮光，密封保存。']
['20206181539192585', '遮光、密封保存.']
['202061815314076806', '密封。']
['2020618154284432', '遮光，密封保存。']
['20206181523655952', '密封，在阴凉处保存。']
['202061815262463857', '密封、遮光处保存。']
['202061815262563859', '密封、遮光处保存。']
['202061815174754919', '密封；置阴凉干燥处。']
['202061815381391322', '密封、置阴凉处。']
['202061815124129158', '遮光，密封保存。']
['202061815243758976', '密封保存。']
['20206181513429451', '遮光，密封保存。']
['20206181548210436', '遮光，密封保存。']
['202061815333480194', '密封。']
['20206181527872587', '遮光，密封保存。请勿放在儿童容易接触的地方。']
['202061815305174308', '密封，置阴凉处（不超过20℃）。']
['202061815131630620', '密封']
['202061815121226892', '密封，防潮。']
['202061815115826181', '密封。']
['202061815473218171', '密封。']
['202061815333680465', '密封。']
['202061815164239469', '遮光，密封保存。']
['202061815304173243', '密封，置阴凉处(不超过20℃)。']
['20206181543489086', '密封。']
['202061815293670762', '遮光，密闭保存']
['20206181540995506', '密闭，置阴凉干燥处。']
['20206181549712411', '密封，在阴凉处（不超过20℃）保存。']
['202061815264664607', '密闭保存。']
['202061815385992617', '遮光，密封保存。']
['202061815361386442', '密封保存。']
['20206181531374607', '密闭，避光']
['202061815305874441', '密封。']
['202061815165440037', None]
['202061815161143572', '遮光，密闭保存。']
['202061815113625061', '遮光 ，密封保存。']
['2020618153934100315', '密封。']
['202061815203460418', '遮光，密闭保存。']
['20206181519945612', '密封。']
['20206181519445626', '密封。']
['202061815473218175', '密封。']
['202061815172541354', '密封，置阴凉干燥处。']
['202061815283969489', '密封。']
['20206181550122056', '密封，在阴凉处保存。']
['2020618154341154', '密封，在干燥处保存。']
['202061815214051870', '密闭，防潮。']
['202061815483011049', '密封，置阴凉处。']
['202061815154236964', '密封保存。']
['20206181542598372', '密封，置阴凉处。']
['202061815325979326', '密封，在阴暗干燥处保存。']
['202061815273266016', '密封，阴凉处保存']
['202061815383797499', '密闭，在干燥处保存。']
['202061815113024323', '避光，密封']
['2020618159517855', '遮光，密封，在阴凉干燥处保存。']
['202061815311890979', '密封保存。']
['202061815213951970', '密封，置阴凉处。']
['202061815283969484', '密封。']
['20206181536886794', '密封，防潮。']
['202061815243171008', '密封。']
['202061815121226876', '密封，防潮。']
['202061815381590966', '密封，在干燥处保存。']
['202061815405597053', '遮光，密闭，在凉处保存。']
['202061815301171916', '遮光，密封保存。']
['202061815381296795', '密封，在阴凉(不超过20℃)干燥处保存。']
['202061815292171329', '密封。']
['20206181539792943', '遮光，密封保存。']
